25 20
#####D#######
#...........#    ########
#...s...s...######......#
#....................S..#
#...........######......#
#.....s.....#    #..H...#
#...........#    #....S.#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #b.....#
  #..@....#      #.K....#
  #.......#      #....b.#
  #.......#      #......#
  #.......#      #..b...#
  #.......#      #....%.#
  #.......#      #......#
  #########       ######
